Country,Deaths_per_1Mpop,Date,Month_Key,Insolation_Average,Cloud_Fraction,CENTR_latitude,CENTR_longitude,LogDeaths_per_1Mpop,Month_Fct2020
Albania,NA,NA,2020-01,244.09833590189615,0.24479166740396371,41.153332,20.168331,NA,Jan
Austria,NA,NA,2020-01,292.9335144042969,0.25324242439854777,47.516231,14.550072,NA,Jan
Belarus,NA,NA,2020-01,191.42505496885718,0.4337383590704718,53.709807,27.953389,NA,Jan
Belgium,NA,NA,2020-01,296.7708592414856,0.6820625006221235,50.503887,4.469936,NA,Jan
Bosnia_and_H,NA,NA,2020-01,268.9225571372292,0.14912500015237706,43.915886,17.679076,NA,Jan
Bulgaria,NA,NA,2020-01,235.75680068969726,0.1735966665049394,42.733883,25.48583,NA,Jan
Croatia,NA,NA,2020-01,270.6800248389151,0.20124754837974357,45.1,15.2,NA,Jan
Czechia,NA,NA,2020-01,282.8685532181351,0.21825185192541943,49.817492,15.472962,NA,Jan
Denmark,NA,NA,2020-01,273.0525445770799,0.58336403560743,56.26392,9.501785,NA,Jan
Estonia,NA,NA,2020-01,204.677858504038,0.38593650768910137,58.595272,25.013607,NA,Jan
Finland,NA,2020-01-31,2020-01,202.10259827577588,0.46366137315709854,61.92411,25.748151,NA,Jan
France,NA,2020-01-31,2020-01,315.18416088856395,0.5102701153092343,46.227638,2.213749,NA,Jan
Germany,NA,2020-01-31,2020-01,286.65770331030495,0.4663882885186992,51.165691,10.451526,NA,Jan
Greece,NA,NA,2020-01,231.2567294292226,0.2510659440387757,39.074208,21.824312,NA,Jan
Hungary,NA,NA,2020-01,268.85827118673444,0.09576234573578853,47.162494,19.503304,NA,Jan
Ireland,NA,NA,2020-01,292.3743478334867,0.7563629805182035,53.41291,-8.24389,NA,Jan
Italy,NA,2020-01-31,2020-01,275.48252339155357,0.2960395134889673,41.87194,12.56738,NA,Jan
Latvia,NA,NA,2020-01,214.66169007399986,0.30743103451256093,56.879635,24.603189,NA,Jan
Lithuania,NA,NA,2020-01,218.27024007539217,0.30479575580959295,55.169438,23.881275,NA,Jan
Luxembourg,NA,NA,2020-01,307.2991663614909,0.5765000010530154,49.815273,6.129583,NA,Jan
Malta,NA,NA,2020-01,291.24000549316406,0.048125000670552254,35.937496,14.375416,NA,Jan
Moldova,NA,NA,2020-01,203.7363682701474,0.5109226172346444,47.411631,28.369885,NA,Jan
Montenegro,NA,NA,2020-01,261.65964426313127,0.12549999964955663,42.708678,19.374389999999998,NA,Jan
Netherlands,NA,NA,2020-01,285.5069297443737,0.6777897720987146,52.132633,5.291266,NA,Jan
North_Macedonia,NA,NA,2020-01,255.7421181418679,0.06931818234310909,41.62,21.719,NA,Jan
Norway,NA,NA,2020-01,237.99636323673556,0.5240190445833542,60.472024,8.468946,NA,Jan
Poland,NA,NA,2020-01,263.7607914681153,0.21169007798592449,51.919438,19.145136,NA,Jan
Portugal,NA,NA,2020-01,296.4236256805532,0.7756483533006885,39.399872,-8.224454,NA,Jan
Romania,NA,NA,2020-01,231.27503384527085,0.23921052634266082,45.943161,24.96676,NA,Jan
Serbia,NA,NA,2020-01,260.893419602338,0.07704779423211756,44.016521,21.005859,NA,Jan
Slovakia,NA,NA,2020-01,264.51472813150156,0.12979347878338202,48.669026,19.699024,NA,Jan
Slovenia,NA,NA,2020-01,289.6847416804387,0.12420512806289853,46.151241,14.995463,NA,Jan
Spain,NA,NA,2020-01,310.1799009422317,0.6402429236421623,40.463667,-3.74922,NA,Jan
Sweden,NA,NA,2020-01,250.95019713181716,0.4703125876009829,60.128161,18.643501,NA,Jan
Switzerland,NA,NA,2020-01,319.6006264156765,0.19081249992207935,46.818188,8.227512,NA,Jan
UK,NA,NA,2020-01,276.5805653130487,0.7329328812175566,55.378051,-3.435973,NA,Jan
Ukraine,NA,NA,2020-01,169.26798187361823,0.5261592880219218,48.379433,31.16558,NA,Jan
Albania,NA,NA,2020-02,268.0304166475932,0.3375208320406576,41.153332,20.168331,NA,Feb
Austria,NA,2020-02-29,2020-02,331.4361512155244,0.23933939365387866,47.516231,14.550072,NA,Feb
Belarus,NA,2020-02-29,2020-02,248.86746207362003,0.34822616460185885,53.709807,27.953389,NA,Feb
Belgium,NA,2020-02-29,2020-02,316.59820532798767,0.6885078162886202,50.503887,4.469936,NA,Feb
Bosnia_and_H,NA,NA,2020-02,302.59573953801936,0.14765340924019588,43.915886,17.679076,NA,Feb
Bulgaria,NA,NA,2020-02,267.7892680867513,0.2257466665034493,42.733883,25.48583,NA,Feb
Croatia,NA,2020-02-29,2020-02,307.3101705663344,0.18895833401863152,45.1,15.2,NA,Feb
Czechia,NA,NA,2020-02,319.31733454951535,0.24484444524299492,49.817492,15.472962,NA,Feb
Denmark,NA,2020-02-29,2020-02,313.065923055013,0.49687280728105915,56.26392,9.501785,NA,Feb
Estonia,NA,2020-02-29,2020-02,264.0019044421968,0.285111111751388,58.595272,25.013607,NA,Feb
Finland,NA,2020-02-29,2020-02,264.02588824500975,0.26882586485779697,61.92411,25.748151,NA,Feb
France,0.03063746586306534,2020-02-29,2020-02,342.94346213909927,0.4090229889491588,46.227638,2.213749,-1.513747159640008,Feb
Germany,NA,2020-02-29,2020-02,326.49453333949185,0.40268288379123957,51.165691,10.451526,NA,Feb
Greece,NA,2020-02-29,2020-02,266.1369662538992,0.2536928634181982,39.074208,21.824312,NA,Feb
Hungary,NA,NA,2020-02,302.33425940996335,0.15602469130384702,47.162494,19.503304,NA,Feb
Ireland,NA,2020-02-29,2020-02,305.9651937484741,0.6346826925873756,53.41291,-8.24389,NA,Feb
Italy,0.4796722270657171,2020-02-29,2020-02,310.8586835155854,0.2640587637656705,41.87194,12.56738,-0.3190554263773001,Feb
Latvia,NA,NA,2020-02,268.01927616514007,0.26470344909627375,56.879635,24.603189,NA,Feb
Lithuania,NA,2020-02-29,2020-02,267.36732130784253,0.2861777195998465,55.169438,23.881275,NA,Feb
Luxembourg,NA,2020-02-29,2020-02,329.3133316040039,0.5876666679978371,49.815273,6.129583,NA,Feb
Malta,NA,NA,2020-02,308.56500244140625,0.024249999958556145,35.937496,14.375416,NA,Feb
Moldova,NA,NA,2020-02,239.42684745788574,0.4374166643690495,47.411631,28.369885,NA,Feb
Montenegro,NA,NA,2020-02,287.25803320748463,0.14664285709815367,42.708678,19.374389999999998,NA,Feb
Netherlands,NA,2020-02-29,2020-02,310.49489090659404,0.7063068209046667,52.132633,5.291266,NA,Feb
North_Macedonia,NA,2020-02-29,2020-02,281.30015101577294,0.12133333256298845,41.62,21.719,NA,Feb
Norway,NA,2020-02-29,2020-02,288.58121275628525,0.37615817288251135,60.472024,8.468946,NA,Feb
Poland,NA,NA,2020-02,303.79136060631794,0.15193868442537178,51.919438,19.145136,NA,Feb
Portugal,NA,NA,2020-02,314.8726371793083,0.7229084242612888,39.399872,-8.224454,NA,Feb
Romania,NA,2020-02-29,2020-02,262.3995685654613,0.28412685522183717,45.943161,24.96676,NA,Feb
Serbia,NA,NA,2020-02,287.9685646505917,0.12892647055217393,44.016521,21.005859,NA,Feb
Slovakia,NA,NA,2020-02,300.19586977751356,0.16714673882107373,48.669026,19.699024,NA,Feb
Slovenia,NA,NA,2020-02,328.60499416253504,0.07735897455579387,46.151241,14.995463,NA,Feb
Spain,NA,2020-02-29,2020-02,333.49013785989445,0.5603094136365705,40.463667,-3.74922,NA,Feb
Sweden,NA,2020-02-29,2020-02,301.0341030094173,0.33856223747134206,60.128161,18.643501,NA,Feb
Switzerland,NA,2020-02-29,2020-02,357.6132634480794,0.08361805541466714,46.818188,8.227512,NA,Feb
UK,NA,2020-02-29,2020-02,302.2186360538995,0.6493122181876213,55.378051,-3.435973,NA,Feb
Ukraine,NA,NA,2020-02,205.1862719092104,0.5213871528814908,48.379433,31.16558,NA,Feb
Albania,4,2020-03-31,2020-03,321.5103136698405,0.23173958365805447,41.153332,20.168331,0.6020599913279624,Mar
Austria,12,2020-03-31,2020-03,350.6687861587062,0.33992727437677484,47.516231,14.550072,1.0791812460476249,Mar
Belarus,NA,2020-03-31,2020-03,279.09288380151315,0.360052106129687,53.709807,27.953389,NA,Mar
Belgium,44,2020-03-31,2020-03,345.8145320415497,0.5756874999497086,50.503887,4.469936,1.6434526764861874,Mar
Bosnia_and_H,3,2020-03-31,2020-03,337.3893755132502,0.12848863657034765,43.915886,17.679076,0.47712125471966244,Mar
Bulgaria,1,2020-03-31,2020-03,320.59550099690756,0.12947666690995296,42.733883,25.48583,0,Mar
Croatia,1,2020-03-31,2020-03,337.2750004787071,0.17769117659761333,45.1,15.2,0,Mar
Czechia,2,2020-03-31,2020-03,343.8746287027995,0.2981629622203332,49.817492,15.472962,0.3010299956639812,Mar
Denmark,13,2020-03-31,2020-03,351.8985112508138,0.45331140333100367,56.26392,9.501785,1.1139433523068367,Mar
