id,survtime,censor,towdur,depth,length,handling,logcatch,_sample
1,209,1,0,13,41,8,6.9920001,1
2,209,1,0,13,44,8,6.9920001,1
3,209,1,0,13,47,10,6.9920001,1
4,209,1,0,13,34,10,6.9920001,1
5,38,1,0,13,40,11,6.9920001,1
6,209,1,0,13,42,11,6.9920001,1
7,140.89999,1,0,13,41,12,6.9920001,1
8,140.89999,1,0,13,30,12,6.9920001,1
9,140.10001,1,0,1,45,4,4.2989998,1
10,208,1,0,1,47,5,4.2989998,1
11,140.10001,1,0,1,44,5,4.2989998,1
12,39.299999,1,0,1,37,5,4.2989998,1
13,45.299999,1,0,1,44,6,4.2989998,1
14,50.299999,1,0,1,44,6,4.2989998,1
15,139.10001,1,0,6,46,8,2.904,1
16,279,1,0,6,49,8,2.904,1
17,92,1,0,6,39,9,2.904,1
18,207,1,0,6,46,9,2.904,1
19,207,1,0,6,43,9,2.904,1
20,139.8,1,0,6,44,10,2.904,1
21,139.8,1,0,6,50,10,2.904,1
22,66.5,1,0,2,31,3,2.908,1
23,397,1,0,2,52,3,2.908,1
24,32.299999,1,0,2,47,3,2.908,1
25,44.299999,1,0,2,40,4,2.908,1
26,1200,0,0,2,48,5,2.908,1
27,85,1,0,2,48,5,2.908,1
28,28.200001,1,0,2,48,7,2.908,1
29,228,1,0,2,51,1,3.5969999,1
30,136.3,1,0,2,29,1,3.5969999,1
31,44.900002,1,0,3,47,12,3.3559999,1
32,42.099998,1,0,3,50,14,3.3559999,1
33,55.700001,1,0,3,41,14,3.3559999,1
34,42.099998,1,0,3,40,14,3.3559999,1
35,40.099998,1,0,3,45,15,3.3559999,1
36,44.799999,1,0,3,40,15,3.3559999,1
37,19.9,1,0,3,48,16,3.3559999,1
38,21.1,1,0,3,36,17,3.3559999,1
39,65.699997,1,0,4,43,4,3.4679999,1
40,44.099998,1,0,4,42,4,3.4679999,1
41,19.4,1,0,4,32,5,3.4679999,1
42,44.099998,1,0,4,36,5,3.4679999,1
43,50.299999,1,0,4,32,6,3.4679999,1
44,16.4,1,0,4,34,6,3.4679999,1
45,157.39999,1,0,5,46,3,3.062,1
46,29.5,1,0,5,32,2,3.049,1
47,63.799999,1,0,5,33,3,3.049,1
48,37.5,1,0,5,47,3,3.049,1
49,48.5,1,0,5,42,4,3.049,1
50,132.5,1,0,5,44,4,3.049,1
51,23.5,1,0,5,37,4,3.049,1
52,27.5,1,0,5,32,5,3.049,1
53,72,1,0,2,38,6,6.3109999,1
54,1200,0,0,2,45,11,6.3109999,1
55,216,1,0,2,57,12,6.3109999,1
56,20.6,1,0,5,44,2,4.1259999,1
57,30.6,1,0,5,50,2,4.1259999,1
58,10.6,1,0,5,43,3,4.1259999,1
59,22.1,1,0,5,49,3,4.1259999,1
60,123.6,1,0,5,43,3,4.1259999,1
61,22.1,1,0,5,41,4,4.1259999,1
62,264,1,0,5,43,4,4.1259999,1
63,30.6,1,0,5,41,5,4.1259999,1
64,14.6,1,0,5,45,5,4.1259999,1
65,11.2,1,0,5,37,5,4.1259999,1
66,28.6,1,0,5,42,6,4.1259999,1
67,30.6,1,0,5,44,6,4.1259999,1
68,17.5,1,0,5,41,7,4.1259999,1
69,22,1,0,5,44,7,4.1259999,1
70,20.5,1,0,5,42,8,4.1259999,1
71,30.5,1,0,5,40,8,4.1259999,1
72,17,1,0,5,31,9,4.1259999,1
73,22,1,0,5,33,9,4.1259999,1
74,28.6,1,0,5,48,3,3.786,1
75,20.1,1,0,5,46,3,3.786,1
76,20.1,1,0,5,33,4,3.786,1
77,18.6,1,0,5,32,4,3.786,1
78,17.6,1,0,5,32,5,3.786,1
79,18.6,1,0,5,46,5,3.786,1
80,18.5,1,0,5,44,6,3.786,1
81,26.5,1,0,5,46,6,3.786,1
82,16.5,1,0,5,41,7,3.786,1
83,18.5,1,0,5,34,8,3.786,1
84,28.5,1,0,5,40,8,3.786,1
85,18.5,1,0,5,32,9,3.786,1
86,20,1,0,5,43,9,3.786,1
87,18.5,1,0,5,41,9,3.786,1
88,18.5,1,0,5,38,9,3.786,1
89,356,1,0,6,40,14,8.0290003,1
90,1200,0,0,6,46,15,8.0290003,1
91,188,1,0,6,41,15,8.0290003,1
92,120.2,1,0,6,41,22,8.0290003,1
93,188,1,0,6,34,25,8.0290003,1
94,5.3000002,1,0,6,43,27,8.0290003,1
95,260,1,0,6,40,28,8.0290003,1
96,185,1,0,15,36,4,5.6849999,1
97,185,1,0,15,46,4,5.6849999,1
98,713,1,0,15,42,4,5.6849999,1
99,1200,0,0,15,47,5,5.6849999,1
100,353,1,0,15,39,5,5.6849999,1
101,377,1,0,15,38,5,5.6849999,1
102,185,1,0,15,37,6,5.6849999,1
103,185,1,0,15,41,6,5.6849999,1
104,353,1,0,15,40,6,5.6849999,1
105,117,1,0,15,38,7,5.6849999,1
106,905,1,0,15,35,7,5.6849999,1
107,117,1,0,15,36,7,5.6849999,1
108,29.5,1,1,5,46,26,8.6899996,1
109,11,1,1,5,44,29,8.6899996,1
110,1.5,1,1,5,44,35,8.6899996,1
111,29.5,1,1,5,49,38,8.6899996,1
112,15,1,1,10,42,4,5.323,1
113,64,0,1,10,53,4,5.323,1
114,156,1,1,10,42,4,5.323,1
